year,picks,prior_year_return_pct,return_while_held_pct,portfolio_value,cum_tax_paid,cum_costs_paid
1996,AN,953.6,83.5,17536.24,0.0,66.0
1997,SNT,155.3,-55.0,14616.41,2197.15,158.95
1998,WEN,129.5,-40.5,16919.24,2197.15,246.42
1999,AAPL,151.9,149.2,67160.39,2197.15,342.01
2000,ORCL,290.9,-1.6,62275.72,22038.16,529.84
2001,EHC,210.7,-4.0,65997.92,22038.16,704.32
2002,BBY,166.0,-49.7,42105.01,22038.16,898.46
2003,BSX,86.9,71.0,91052.96,22038.16,1046.95
2004,WMB,250.4,66.5,140713.71,37487.21,1272.49
2005,ADSK,210.6,14.8,143301.12,59042.0,1580.6
2006,VLO,140.9,-5.4,137446.9,67234.38,1919.03
2007,ATI,153.2,-1.8,141873.08,67234.38,2249.33
2008,NOV,152.3,-67.6,50266.33,67234.38,2587.37
2009,HRB,25.5,4.0,72610.17,67234.38,2759.18
2010,THC,324.4,22.8,102458.32,69779.46,2963.54
2011,CMI,137.1,-20.2,85524.46,79701.84,3223.3
2012,ISRG,72.1,4.0,103186.7,79701.84,3461.65
2013,PHM,178.5,10.5,126457.89,81662.17,3730.47
2014,NFLX,300.1,-5.8,123034.46,86194.01,4036.63
2015,LUV,125.8,1.6,140049.61,86194.01,4349.35
2016,NFLX,129.5,12.6,167818.46,86194.01,4683.66
2017,NVDA,232.9,90.4,324518.63,97223.52,5079.6
2018,NRG,132.9,37.6,374474.5,169493.69,5737.15
2019,AMD,68.1,143.5,800953.48,208473.53,6480.08
2020,AMD,143.5,86.8,1177004.36,444283.26,8019.99
2021,NVDA,118.0,124.5,2117707.87,692323.65,10201.42
2022,DVN,190.0,45.8,2369194.75,1241461.69,14049.27
2023,OXY,104.5,-1.0,1952088.88,1515303.9,18311.94
2024,NVDA,246.1,178.9,5481328.98,1515303.9,22297.88
2025,NVDA,178.9,34.9,5390375.29,3166150.99,31993.72
