year,picks,prior_year_return_pct,return_while_held_pct,portfolio_value,cum_tax_paid,cum_costs_paid
1996,AN,953.6,83.5,17536.24,0.0,66.0
1997,SNT,155.3,-55.0,14616.41,2197.15,158.95
1998,WEN,129.5,-40.5,16704.04,2197.15,258.05
1999,AAPL,151.9,149.2,46103.05,7614.73,413.59
2000,ORCL,290.9,-1.6,63621.29,21242.13,619.66
2001,EHC,210.7,-4.0,75621.29,21242.13,619.66
2002,BBY,166.0,-49.7,81953.38,21242.13,773.31
2003,BSX,86.9,71.0,154573.25,21242.13,898.76
2004,WMB,250.4,66.5,200654.58,60481.26,1535.52
2005,ADSK,210.6,14.8,214071.85,77418.19,1962.48
2006,VLO,140.9,-5.4,200244.88,89537.88,2437.79
2007,ATI,153.2,-1.8,216016.58,96544.73,3107.64
2008,NOV,152.3,-67.6,228016.58,96544.73,3107.64
2009,HRB,25.5,4.0,368670.02,96544.73,3374.66
2010,THC,324.4,22.8,382979.13,154686.12,5150.75
2011,CMI,137.1,-20.2,281137.64,213059.12,6187.46
2012,ISRG,72.1,4.0,262634.82,221261.24,7121.32
2013,PHM,178.5,10.5,306964.82,221261.24,7715.48
2014,NFLX,300.1,-5.8,284160.24,232251.1,8370.88
2015,LUV,125.8,1.6,238701.82,232251.1,9509.32
2016,NFLX,129.5,12.6,286196.89,232251.1,10022.29
2017,NVDA,232.9,90.4,534083.93,254904.79,10650.3
2018,NRG,132.9,37.6,501529.56,426960.87,13621.63
2019,AMD,68.1,143.5,788724.63,462661.44,15726.86
2020,AMD,143.5,86.8,1086515.01,600743.65,18583.06
2021,NVDA,118.0,124.5,2010487.47,805616.12,20625.61
2022,DVN,190.0,45.8,1596054.57,1533424.66,31479.85
2023,OXY,104.5,-1.0,1502821.21,1533424.66,37494.87
2024,NVDA,246.1,178.9,4181305.83,1548685.63,40562.35
2025,NVDA,178.9,34.9,3295484.07,2807388.27,52806.48
