year,picks,prior_year_return_pct,return_while_held_pct,portfolio_value,cum_tax_paid,cum_costs_paid
1996,AN;BSX;CSCO;MDT;AMGN,953.6;194.0;118.7;109.3;103.9,83.5;25.7;66.6;31.5;-6.7,14150.93,0.0,306.0
1997,SNT;TJX;INTC;MSFT;AN,155.3;153.6;123.9;84.1;83.5,-55.0;53.0;7.9;58.3;-22.1,25283.52,1075.33,650.38
1998,WEN;NC;FITB;LLY;USB,129.5;102.7;100.5;94.8;94.8,-40.5;-11.4;32.7;30.4;67.4,34184.21,2918.52,1008.96
1999,AAPL;UIS;CSCO;LOW;MSFT,151.9;151.6;139.8;118.0;111.5,149.2;-6.6;124.8;17.8;65.6,64812.47,9127.8,1425.84
2000,ORCL;GLW;AMAT;ADBE;AAPL,290.9;186.6;185.9;170.0;149.2,-1.6;30.5;-39.6;77.6;-73.4,82746.0,33900.51,1854.45
2001,EHC;CB;UNH;PPL;LUV,210.7;164.7;128.5;111.8;111.4,-4.0;-0.9;20.1;-17.6;-17.1,94746.0,33900.51,1854.45
2002,BBY;AZO;HRB;DLX;LOW,166.0;157.6;126.3;123.9;107.9,-49.7;0.9;-6.6;5.7;-17.2,104414.11,35181.19,2050.99
2003,BSX;HAL;NEM;ZBH;AFL,86.9;57.0;52.8;37.3;27.7,71.0;38.6;64.5;74.7;15.6,168791.45,35181.19,2338.9
2004,WMB;AES;SANM;GLW;FCX,250.4;191.4;179.4;178.1;144.1,66.5;44.2;-32.6;14.6;-6.1,169582.7,64365.2,3149.4
2005,ADSK;AAPL;SBUX;NUE;GT,210.6;202.6;89.5;88.9;86.5,14.8;127.2;-1.8;35.8;16.6,230956.45,73527.79,3752.51
2006,VLO;AAPL;EOG;HUM;ATI,140.9;127.2;121.2;86.3;78.4,-5.4;13.5;-20.7;-0.8;153.2,276214.36,104861.63,4477.59
2007,ATI;NVDA;NUE;CMCSA;CSCO,153.2;93.7;64.0;61.4;56.6,-1.8;41.4;13.1;-35.8;-2.4,252931.96,146176.3,5509.72
2008,NOV;AMZN;CNX;AAPL;CMI,152.3;139.4;138.3;136.4;118.0,-67.6;-46.7;-60.1;-56.2;-56.1,264931.96,146176.3,5509.72
2009,HRB;AMGN;BBT;WMT;AZO,25.5;23.9;22.4;21.6;20.0,4.0;-4.1;-31.7;-4.5;12.4,316016.14,146176.3,5933.65
2010,THC;AMD;F;GNW;MU,324.4;306.7;306.5;296.9;271.8,22.8;-15.7;63.3;9.0;-26.1,306085.44,174785.51,7774.29
2011,CMI;AIG;HBAN;ZION;AKAM,137.1;92.8;87.9;82.1;81.5,-20.2;-51.8;-21.3;-35.2;-33.1,187009.25,204596.27,8735.67
2012,ISRG;MA;BIIB;HUM;OKE,72.1;69.2;63.8;60.4;58.5,4.0;33.7;29.0;-21.2;0.6,191543.0,208699.38,9536.57
2013,PHM;WHR;EXPE;BAC;LEN,178.5;115.4;110.9;101.1;95.5,10.5;49.1;11.2;29.8;-0.4,243483.43,212791.24,10205.5
2014,NFLX;BBY;MU;PBI;BSX,300.1;245.4;228.1;129.0;104.1,-5.8;-1.5;61.6;7.1;11.3,270539.36,231102.82,10956.2
2015,LUV;EW;DAL;KR;MNST,125.8;93.2;79.0;65.9;62.2,1.6;23.7;4.1;33.1;37.7,270054.1,255849.26,12217.04
2016,NFLX;AMZN;NVDA;HRL;VRSN,129.5;119.1;66.5;55.9;52.8,12.6;17.7;232.9;-9.6;-9.4,381165.49,259335.97,12949.05
2017,NVDA;OKE;FCX;NEM;AMAT,232.9;142.8;101.4;85.5;77.6,90.4;-4.3;37.6;9.1;61.5,460925.45,314692.98,13930.18
2018,NRG;VRTX;WYNN;BA;NVDA,132.9;100.1;95.9;93.1;90.4,37.6;8.4;-38.6;10.8;-32.8,370656.4,411148.89,16732.09
2019,AMD;TRIP;AAP;CMG;HCA,68.1;55.1;48.7;47.4;40.7,143.5;-37.0;1.6;88.8;22.9,401113.1,418273.05,18385.65
2020,AMD;LRCX;KLAC;TGT;CPRT,143.5;116.0;100.8;99.1;90.7,86.8;61.2;44.4;42.9;36.1,472191.11,446988.11,19970.74
2021,NVDA;PYPL;ALB;FCX;CDNS,118.0;111.5;106.6;97.9;91.0,124.5;-18.7;54.4;54.7;37.3,607133.68,522976.7,21117.3
2022,DVN;FTNT;F;FANG;NVDA,190.0;146.9;145.0;125.0;124.5,45.8;-26.6;-44.8;30.5;-51.4,390895.13,646485.75,24170.12
2023,OXY;MPC;XOM;SLB;VLO,104.5;81.9;80.5;71.0;70.3,-1.0;36.9;-2.9;3.0;11.9,394934.13,656999.3,25938.64
2024,NVDA;META;RCL;CCL;AMD,246.1;183.8;165.8;132.6;130.3,178.9;69.7;92.9;44.1;-12.8,707516.9,659169.83,27016.82
2025,NVDA;UAL;AXON;AVGO;TRGP,178.9;138.5;136.2;116.5;111.2,34.9;17.2;-4.8;50.5;3.0,593013.19,808251.6,29487.97
