year,picks,prior_year_return_pct,return_while_held_pct,portfolio_value,cum_tax_paid,cum_costs_paid
1996,BSX;CSCO;C;NKE;LMT,194.0;118.7;94.1;93.7;82.2,25.7;66.6;49.0;69.1;16.9,14563.34,0.0,306.0
1997,TJX;INTC;COST;PCAR;USB,153.6;123.9;63.4;59.3;58.3,53.0;7.9;83.1;63.4;94.8,35816.1,1180.17,650.74
1998,FITB;LLY;CMCSA;PH;COST,100.5;94.8;85.6;83.3;83.1,32.7;30.4;79.2;-27.2;64.1,44479.31,6862.95,1027.09
1999,AAPL;LOW;SCHW;WMT;AMGN,151.9;118.0;110.3;107.9;93.9,149.2;17.8;39.3;72.2;123.7,74207.04,14872.48,1475.41
2000,ORCL;AMGN;MS;FCX;HD,290.9;123.7;98.2;93.1;75.8,-1.6;1.6;18.6;-59.6;-29.7,74597.48,26059.18,1901.12
2001,CB;UNH;PPL;LUV;APA,164.7;128.5;111.8;111.4;106.2,-0.9;20.1;-17.6;-17.1;-22.1,86597.48,26059.18,1901.12
2002,BBY;BSX;FCX;SWK;MSFT,166.0;78.7;61.1;55.2;52.7,-49.7;86.9;26.4;-22.8;-22.9,94997.03,26234.4,2078.98
2003,BSX;HAL;NEM;AFL;LMT,86.9;57.0;52.8;27.7;25.8,71.0;38.6;64.5;15.6;-11.6,145259.35,26234.4,2357.47
2004,WMB;AES;GLW;FCX;HUM,250.4;191.4;178.1;144.1;121.6,66.5;44.2;14.6;-6.1;29.5,165200.47,48360.93,3104.26
2005,ADSK;SBUX;NUE;BIIB;CMI,210.6;89.5;88.9;80.3;75.2,14.8;-1.8;35.8;-31.7;10.7,170743.28,60754.48,3696.57
2006,VLO;AAPL;HUM;AON;FCX,140.9;127.2;86.3;56.2;53.2,-5.4;13.5;-0.8;-3.5;6.3,179308.77,70683.54,4316.74
2007,NVDA;NUE;CMCSA;GS;TMO,93.7;64.0;61.4;56.0;49.6,41.4;13.1;-35.8;7.9;27.7,191257.16,86007.37,5124.44
2008,AMZN;AAPL;CMI;FCX;APA,139.4;136.4;118.0;106.3;67.9,-46.7;-56.2;-56.1;-75.7;-32.0,203257.16,86007.37,5124.44
2009,AMGN;WMT;AZO;PSA;SHW,23.9;21.6;20.0;11.2;8.4,-4.1;-4.5;12.4;11.4;5.5,240591.87,86007.37,5486.7
2010,AMD;F;CBRE;FCX;ISRG,306.7;306.5;202.9;200.3;129.2,-15.7;63.3;48.2;46.9;-16.5,241550.76,103303.51,6970.45
2011,CMI;AIG;AKAM;BKNG;EL,137.1;92.8;81.5;78.4;67.9,-20.2;-51.8;-33.1;12.4;41.0,193898.2,133922.57,7824.02
2012,ISRG;MA;OKE;ROST;FAST,72.1;69.2;58.5;50.5;46.2,4.0;33.7;0.6;15.5;9.7,214534.75,141570.68,8667.51
2013,PHM;BAC;MPC;GILD;SHW,178.5;101.1;93.5;75.5;71.2,10.5;29.8;46.2;100.1;18.4,311356.34,150154.18,9379.8
2014,NFLX;BBY;MU;BSX;AIZ,300.1;245.4;228.1;104.1;90.6,-5.8;-1.5;61.6;11.3;6.5,322569.57,189771.76,10243.06
2015,LUV;EW;KR;MU;MAR,125.8;93.2;65.9;61.6;61.3,1.6;23.7;33.1;-59.3;-12.7,254340.85,212305.5,11611.08
2016,NFLX;AMZN;NVDA;HRL;VLO,129.5;119.1;66.5;55.9;44.4,12.6;17.7;232.9;-9.6;1.8,380077.96,214231.66,12319.71
2017,NVDA;OKE;FCX;DHR;PWR,232.9;142.8;101.4;75.3;71.6,90.4;-4.3;37.6;18.6;12.0,433249.54,271036.39,13299.67
2018,NRG;VRTX;WYNN;BA;NVDA,132.9;100.1;95.9;93.1;90.4,37.6;8.4;-38.6;10.8;-32.8,354191.87,351775.48,15971.86
2019,AMD;CMG;HCA;MKC;AES,68.1;47.4;40.7;39.9;38.4,143.5;88.8;22.9;27.0;45.0,442871.75,363500.23,17599.48
2020,AMD;TGT;CPRT;CMG;GPN,143.5;99.1;90.7;88.8;79.2,86.8;42.9;36.1;61.6;16.5,459357.84,401552.67,19302.0
2021,NVDA;PYPL;ALB;IDXX;ROL,118.0;111.5;106.6;88.6;77.5,124.5;-18.7;54.4;33.9;-9.5,549738.24,458018.71,20424.26
2022,DVN;FTNT;F;NUE;EXR,190.0;146.9;145.0;121.3;111.1,45.8;-26.6;-44.8;18.5;-30.5,386699.7,554908.21,23297.85
2023,OXY;CAH;NOC;ADM;WRB,104.5;52.5;43.6;39.4;35.8,-1.0;34.4;-11.9;-17.6;0.2,382378.19,566230.21,25058.36
2024,NVDA;META;RCL;GE;NRG,246.1;183.8;165.8;93.0;68.8,178.9;69.7;92.9;67.0;80.1,776864.04,567041.26,26111.86
2025,NVDA;UAL;TRGP;CEG;RCL,178.9;138.5;111.2;95.5;92.9,34.9;17.2;3.0;46.4;23.4,659207.42,750223.69,28797.76
